technical_director	technical director
child_welfare_worker	child welfare worker
commodity_broker	commodity broker
bakery_shop_manager	bakery shop manager
textile_machine_operator	textile machine operator
dog_breeder	dog breeder
sewer_construction_supervisor	sewer construction supervisor
health_and_safety_inspector	health and safety inspector
footwear_quality_controller	footwear quality controller
classical_languages_teacher_secondary_school	classical languages teacher secondary school
deputy_head_teacher	deputy head teacher
cashier	cashier
instrumentation_engineering_technician	instrumentation engineering technician
meter_reader	meter reader
heat_sealing_machine_operator	heat sealing machine operator
rental_service_representative_in_personal_and_household_goods	rental service representative in personal and household goods
enterprise_architect	enterprise architect
clothing_technologist	clothing technologist
vessel_steering_instructor	vessel steering instructor
further_education_principal	further education principal
botanical_technician	botanical technician
social_security_inspector	social security inspector
commercial_art_gallery_manager	commercial art gallery manager
carriage_driver	carriage driver
leather_measuring_operator	leather measuring operator
boiler_operator	boiler operator
audio_production_technician	audio production technician
toys_and_games_shop_manager	toys and games shop manager
machine_operator_supervisor	machine operator supervisor
insurance_collector	insurance collector
commercial_director	commercial director
spa_attendant	spa attendant
technical_sales_representative_in_agricultural_machinery_and_equipment	technical sales representative in agricultural machinery and equipment
coppersmith	coppersmith
wine_sommelier	wine sommelier
frame_maker	frame maker
acupuncturist	acupuncturist
wholesale_merchant_in_electronic_and_telecommunications_equipment_and_parts	wholesale merchant in electronic and telecommunications equipment and parts
academic_support_officer	academic support officer
animal_welfare_inspector	animal welfare inspector
boatswain	boatswain
aquaculture_cage_mooring_worker	aquaculture cage mooring worker
lift_installation_supervisor	lift installation supervisor
biomedical_scientist	biomedical scientist
bakery_specialised_seller	bakery specialised seller
construction_scaffolding_supervisor	construction scaffolding supervisor
sales_account_manager	sales account manager
tunnel_kiln_operator	tunnel kiln operator
mobile_app_developer	mobile app developer
wearing_apparel_presser	wearing apparel presser
wholesale_merchant_in_fish_crustaceans_and_molluscs	wholesale merchant in fish, crustaceans and molluscs
communication_infrastructure_maintainer	communication infrastructure maintainer
book_restorer	book restorer
food_production_engineer	food production engineer
lighting_director	lighting director
warehouse_manager	warehouse manager
bartender	bartender
bingo_caller	bingo caller
aviation_communications_and_frequency_coordination_manager	aviation communications and frequency coordination manager
asphalt_plant_operator	asphalt plant operator
screw_machine_operator	screw machine operator
pipe_welder	pipe welder
bank_teller	bank teller
business_lecturer	business lecturer
maternity_support_worker	maternity support worker
life_guard	life guard
engineered_wood_board_grader	engineered wood board grader
oilseed_presser	oilseed presser
building_cleaner	building cleaner
pneumatic_engineering_technician	pneumatic engineering technician
medical_device_engineering_technician	medical device engineering technician
earth_science_lecturer	earth science lecturer
costume_attendant	costume attendant
raw_materials_warehouse_specialist	raw materials warehouse specialist
civil_drafter	civil drafter
animation_director	animation director
quality_engineer	quality engineer
call_centre_analyst	call centre analyst
nitrator_operator	nitrator operator
financial_manager	financial manager
distillation_operator	distillation operator
wave_soldering_machine_operator	wave soldering machine operator
leather_production_manager	leather production manager
security_guard	security guard
legal_consultant	legal consultant
animal_embryo_transfer_technician	animal embryo transfer technician
biology_technician	biology technician
medium	medium
leather_goods_warehouse_operator	leather goods warehouse operator
import_export_specialist_in_wood_and_construction_materials	import export specialist in wood and construction materials
aquaculture_cage_technician	aquaculture cage technician
import_export_specialist_in_agricultural_raw_materials_seeds_and_animal_feeds	import export specialist in agricultural raw materials, seeds and animal feeds
environmental_mining_engineer	environmental mining engineer
sugar_refinery_operator	sugar refinery operator
construction_quality_manager	construction quality manager
utilities_inspector	utilities inspector
picture_archiving_and_communication_systems_administrator	picture archiving and communication systems administrator
equine_dental_technician	equine dental technician
credit_manager	credit manager
printing_textile_technician	printing textile technician
prison_officer	prison officer
bicycle_mechanic	bicycle mechanic
building_electrician	building electrician
monk_nun	monk/nun
import_export_specialist_in_meat_and_meat_products	import export specialist in meat and meat products
occupational_therapist	occupational therapist
beauty_salon_manager	beauty salon manager
digital_games_tester	digital games tester
food_analyst	food analyst
fisheries_refrigeration_engineer	fisheries refrigeration engineer
child_care_worker	child care worker
tufting_operator	tufting operator
automotive_engineering_drafter	automotive engineering drafter
