technical_director	technical director
fuel_station_specialised_seller	fuel station specialised seller
derrickhand	derrickhand
corrosion_technician	corrosion technician
product_development_engineering_technician	product development engineering technician
marine_upholsterer	marine upholsterer
destination_manager	destination manager
underground_heavy_equipment_operator	underground heavy equipment operator
grader_operator	grader operator
employment_agent	employment agent
import_export_manager_in_perfume_and_cosmetics	import export manager in perfume and cosmetics
scopist	scopist
solar_energy_engineer	solar energy engineer
rolling_stock_inspector	rolling stock inspector
drawing_artist	drawing artist
chimney_sweep_supervisor	chimney sweep supervisor
import_export_manager_in_coffee_tea_cocoa_and_spices	import export manager in coffee, tea, cocoa and spices
planer_thicknesser_operator	planer thicknesser operator
optical_instrument_production_supervisor	optical instrument production supervisor
road_roller_operator	road roller operator
dairy_products_maker	dairy products maker
hydrographic_surveyor	hydrographic surveyor
auger_press_operator	auger press operator
healthcare_inspector	healthcare inspector
battery_test_technician	battery test technician
doorman_doorwoman	doorman/doorwoman
behavioural_scientist	behavioural scientist
automotive_engineering_technician	automotive engineering technician
land_planner	land planner
glass_polisher	glass polisher
agricultural_raw_materials_seeds_and_animal_feeds_distribution_manager	agricultural raw materials, seeds and animal feeds distribution manager
wood_drying_kiln_operator	wood drying kiln operator
laundry_and_dry_cleaning_manager	laundry and dry cleaning manager
budget_manager	budget manager
airside_safety_manager	airside safety manager
cargo_vehicle_driver	cargo vehicle driver
music_arranger	music arranger
dewatering_technician	dewatering technician
ict_capacity_planner	ICT capacity planner
metallurgical_manager	metallurgical manager
farm_manager	farm manager
air_traffic_instructor	air traffic instructor
plastic_and_rubber_products_manufacturing_supervisor	plastic and rubber products manufacturing supervisor
ict_application_configurator	ICT application configurator
digital_literacy_teacher	digital literacy teacher
credit_union_manager	credit union manager
leather_goods_quality_control_laboratory_technician	leather goods quality control laboratory technician
drain_technician	drain technician
electricity_and_energy_vocational_teacher	electricity and energy vocational teacher
herbal_therapist	herbal therapist
audio_and_video_equipment_shop_manager	audio and video equipment shop manager
bus_driving_instructor	bus driving instructor
well_digger	well-digger
photography_teacher	photography teacher
industrial_arts_vocational_teacher	industrial arts vocational teacher
civil_engineering_worker	civil engineering worker
helicopter_pilot	helicopter pilot
swimming_facility_attendant	swimming facility attendant
marketeer	marketeer
advertising_media_buyer	advertising media buyer
journalism_lecturer	journalism lecturer
gas_processing_plant_control_room_operator	gas processing plant control room operator
jewellery_and_watches_shop_manager	jewellery and watches shop manager
dredge_operator	dredge operator
liquid_fuel_engineer	liquid fuel engineer
performance_rental_technician	performance rental technician
marketing_assistant	marketing assistant
photojournalist	photojournalist
edge_bander_operator	edge bander operator
wholesale_merchant_in_pharmaceutical_goods	wholesale merchant in pharmaceutical goods
language_engineer	language engineer
hospitality_entertainment_manager	hospitality entertainment manager
pedicurist	pedicurist
halal_butcher	halal butcher
animator	animator
yarn_spinner	yarn spinner
communications_lecturer	communications lecturer
atm_repair_technician	ATM repair technician
electrician	electrician
gambling_betting_and_lottery_quality_assurance_engineer	gambling, betting, and lottery quality assurance engineer
wood_and_construction_materials_distribution_manager	wood and construction materials distribution manager
make_up_artist	make-up artist
property_insurance_underwriter	property insurance underwriter
oenologist	oenologist
sommelier	sommelier
bindery_operator	bindery operator
lexicographer	lexicographer
lottery_manager	lottery manager
freight_transport_dispatcher	freight transport dispatcher
chiropractor	chiropractor
drawing_kiln_operator	drawing kiln operator
quick_service_restaurant_team_leader	quick service restaurant team leader
technical_sales_representative_in_hardware_plumbing_and_heating_equipment	technical sales representative in hardware, plumbing and heating equipment
surface_grinding_machine_operator	surface grinding machine operator
surface_miner	surface miner
sole_and_heel_operator	sole and heel operator
healthcare_institution_manager	healthcare institution manager
insulating_tube_winder	insulating tube winder
materials_engineer	materials engineer
tax_compliance_officer	tax compliance officer
army_corporal	army corporal
anatomical_pathology_technician	anatomical pathology technician
plastic_heat_treatment_equipment_operator	plastic heat treatment equipment operator
horse_trainer	horse trainer
vehicle_technician	vehicle technician
second_hand_goods_specialised_seller	second-hand goods specialised seller
membership_manager	membership manager
social_worker	social worker
furniture_specialised_seller	furniture specialised seller
environmental_protection_manager	environmental protection manager
ict_business_analysis_manager	ICT business analysis manager
print_studio_supervisor	print studio supervisor
paper_machine_operator	paper machine operator
cylindrical_grinder_operator	cylindrical grinder operator
food_technologist	food technologist
non_vessel_operating_common_carrier	non-vessel operating common carrier
oceanographer	oceanographer
leather_laboratory_technician	leather laboratory technician
securities_trader	securities trader
youth_offending_team_worker	youth offending team worker
aeronautical_information_service_officer	aeronautical information service officer
fire_prevention_and_protection_engineer	fire prevention and protection engineer
airport_chief_executive	airport chief executive
book_editor	book editor
import_export_manager_in_office_furniture	import export manager in office furniture
benefits_advice_worker	benefits advice worker
electricity_sales_representative	electricity sales representative
investor_relations_manager	investor relations manager
winding_machine_operator	winding machine operator
family_support_worker	family support worker
fire_protection_technician	fire protection technician
intelligence_officer	intelligence officer
street_warden	street warden
foreign_correspondent	foreign correspondent
underground_miner	underground miner
official_veterinarian	official veterinarian
3d_printing_technician	3D printing technician
boom_operator	boom operator
early_years_teaching_assistant	early years teaching assistant
electronics_engineer	electronics engineer
production_designer	production designer
agricultural_engineer	agricultural engineer
beauty_vocational_teacher	beauty vocational teacher
